candidate_id,mdc_0069b1076c73906e,mdc_0166c26db49126b2,mdc_0196c8ad94f13c8c,mdc_031f3155a31e7062,mdc_05e99567b31e2127,mdc_0797eb6c34ebdc60,mdc_0be4614eb2c8e446,mdc_0d70e9dadeea2aa7,mdc_0f8ce9e4611fe036,mdc_11261b4c8c37b3af,mdc_1361621b538bd930,mdc_1366eb063c96bd09,mdc_179d84172c9dbb2d,mdc_17e3754562e88e01,mdc_18a517e70fce1a2f,mdc_1a7ec2fadcbe5129,mdc_1a972c69566941d1,mdc_1dc3c9761e80f81c,mdc_1fae6b535e8df13d,mdc_2107f1ec01dfce72,mdc_23468deffc77a94a,mdc_251595cbee25d1fd,mdc_2b091782d352444b,mdc_2c0edd3b5a69ca83,mdc_2e0b10ec18fb4d65,mdc_36eb8ebeca066850,mdc_37f41d7a7f1340c7,mdc_391cba888651d8d3,mdc_3a857f4b8a3e3588,mdc_3bdd527ed80d98c6,mdc_3e4fc9dc6dcf546a,mdc_3ed979ee7d9dabe6,mdc_41a8bba213046a30,mdc_44fec92ec4fa360c,mdc_46d2c3136b8beeb4,mdc_477bddd87893a8d5,mdc_485790eb68bebcd9,mdc_4992167889db9b2e,mdc_49cc9ddd19f8d982,mdc_49f926d52969ca20,mdc_4a9fea41ca5fb263,mdc_4b222749aeece7d2,mdc_4c6118b76af0f0c6,mdc_4f37d90902a02fb0,mdc_50898bec5bf99099,mdc_51a60a3264845365,mdc_55704ef55a74b2cd,mdc_5e13b90555a693c9,mdc_5f065ced36a26565,mdc_61438f8a108ae268,mdc_621143441783762a,mdc_6528eee052f7feb1,mdc_677e824ccda9c019,mdc_678609c534d68189,mdc_6cacbba19ad9b8d3,mdc_6f008c954ea26bf5,mdc_76477bceb0d8f4af,mdc_768a5c7e2b969a5c,mdc_79e791563e18827f,mdc_7d14f841ef43cadf,mdc_7f69956dbd1c0013,mdc_801488267ad484dc,mdc_816bddd1a301dac9,mdc_846faa048a1022c9,mdc_855778f6a4cdfa71,mdc_85674e81d3506a6c,mdc_886edcbc5a858c56,mdc_8c0ec58523669f91,mdc_8c4eb611f2281cb9,mdc_8cbf8475db61e0ec,mdc_8de974a1ea5ca8c9,mdc_8e573e8836b37473,mdc_8e8240d2bedb8e5b,mdc_8f1dc634ad078b0f,mdc_90044637c94671be,mdc_953ada34cefc6465,mdc_97e5cdb98ab5a15d,mdc_98600cc3f61ce0d1,mdc_99aa952c5d5f6ff7,mdc_9a206dcb98dd1c00,mdc_9e12ffb84cd61f2b,mdc_9e477e1d1e8166cf,mdc_a0f769fc20835273,mdc_a1d5ba23cce99ff9,mdc_a559a88331a8ceed,mdc_a627de466de38e08,mdc_a9c8937e1959621a,mdc_aa25caf5a0a04dc2,mdc_abe08fe96756a464,mdc_acce1385a9b57a3c,mdc_ad786dac3c66daeb,mdc_b096b26d1e958125,mdc_b3ce27310db4b598,mdc_b51bdd16328fe2cc,mdc_b6dfe91842845346,mdc_b91907ea7dd79a88,mdc_b92e8a4f0ef50e68,mdc_ba43d333e738b158,mdc_bc15e7fc4f2e7bff,mdc_bcab10034fd66fe3,mdc_bd0d2edb9c184cc8,mdc_be57ebb80c38d83e,mdc_be80cb247303bb8c,mdc_c1bc70edae36a6d2,mdc_c3f22a3b2320b02b,mdc_cc8c77c2e4658747,mdc_ce441f34fbac37a9,mdc_d09458a4f96cd61b,mdc_d14399299976220d,mdc_d25a06f953e1cce2,mdc_d277605e97c4c852,mdc_d85f53e055270c7b,mdc_df580039cda31237,mdc_dfd60d2f2c6863e5,mdc_e0df03299c6d576d,mdc_e0e6217804293163,mdc_e19c602426cbe9a2,mdc_e30c4fb0bbc963e6,mdc_e32bb6929aef08f7,mdc_e62e894e452b0619,mdc_e77699a8893a31cd,mdc_e9c74b43bf92a568,mdc_e9f1550d7cfae623,mdc_eb281f6d7961dd89,mdc_f626a0aebd084d8b,mdc_f75b772be82c145f,mdc_f76d596406c0ea04,mdc_ff8260603405b20b,mdc_ffec287b3c683df7
mdc_0069b1076c73906e,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.8441365859599395,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9027825703463432,nan,nan,nan,nan,nan,-0.4258529176078539,nan,nan,0.1146999921509051,nan,0.9038023448047844,nan,nan,0.27034069110210657,0.8655047088169933,0.777647617042372,nan,0.32536343675131396,nan,0.8874478171866447,0.7495165703504524,nan,nan,0.756316988619723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8828739641565967,0.8783051463794372,nan,0.8242756149898964,nan,0.8442510575529764,nan,nan,0.8647773439895597,nan,nan,nan,nan,0.8346013854958219,nan,0.8783051463794372,nan,nan,nan,0.7376955820055431,nan,nan,nan,0.9163087133857766,0.3573621226680932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8008239644103047,nan,nan,nan,nan,nan,nan,0.14573772536948779,nan,nan,nan,nan,nan,-0.5072440929327718,0.8515129089171446,nan,nan,-0.4258529176078539,nan,0.8514431873321293,nan,0.2380959070050461,nan,0.9100235852872257,nan,nan,nan,nan,0.3573621226680932,0.8447204039371018,0.8560493129158109,nan,0.7809574575396528,nan,-0.4552832906154873,nan,nan,0.6115203112877278,nan,nan
mdc_0166c26db49126b2,nan,1.0,0.8056114928603478,nan,0.8683084986355675,0.9416231652312448,0.6463779527901067,0.9437718313044805,nan,nan,nan,nan,0.845976515273217,0.8738927258923994,nan,nan,nan,nan,0.9572960623751063,nan,0.7333362411515066,0.9217763189497586,0.787228552675319,nan,nan,nan,nan,0.6052064535733024,nan,0.7693289077299342,nan,0.29973694316459903,nan,nan,nan,nan,0.9648126389618368,nan,0.9623031214727685,nan,nan,0.8500699794187794,0.8432323132016797,nan,nan,nan,0.7493124266343606,0.9200181056278616,0.7602123090800766,nan,nan,nan,0.8362221475716626,nan,nan,nan,0.5933066109395309,nan,0.5948276252436903,nan,0.9535604252417813,0.7071151863090023,nan,0.849851726344808,0.7602123090800766,0.9382614225818243,0.5933066109395309,nan,0.7196785173360948,nan,0.800022094413173,0.8225903231605828,0.7196785173360948,nan,0.7700319446706934,nan,nan,nan,nan,0.8809083564740092,0.8788186651515937,nan,0.3494260603651624,0.9279034106952753,0.8692865254458678,nan,0.6052064535733024,nan,0.8638381114935838,nan,nan,0.9376737172410587,0.8717502353003794,0.8362221475716626,0.5948276252436903,0.7783436750750686,nan,0.8041551163837103,0.9545180735728903,nan,nan,nan,nan,nan,nan,0.6463779527901067,nan,0.9088774836362775,nan,0.7870663991100779,nan,0.9022194662582947,nan,0.7071151863090023,0.8717502353003794,0.9297689004218948,0.7783436750750686,nan,nan,nan,0.8734256254918886,nan,0.819219084444737,nan,0.8062843286640753,0.8382833002196514,nan,nan,0.7139645932550753
mdc_0196c8ad94f13c8c,nan,0.8056114928603478,0.9999999999999998,nan,0.8815189547532958,0.8142907318264316,0.5052704448394733,0.8172559152631962,nan,nan,nan,nan,0.7052215741019149,0.7104817230976206,nan,nan,nan,nan,0.8290676809858514,nan,0.5734312007825286,0.7548475751272021,0.6187745357652022,nan,nan,nan,nan,0.4760746854136525,nan,0.6648962088501479,nan,0.21961252025224093,nan,nan,nan,nan,0.811096116195674,nan,0.8153526773022071,nan,nan,0.6693048787603839,0.6970090784839261,nan,nan,nan,0.6328748952617206,0.7936902783353844,0.6354522894551328,nan,nan,nan,0.7109969335056523,nan,nan,nan,0.49101857530621157,nan,0.46420644217572965,nan,0.811557290215631,0.5651976769689498,nan,0.6889658327124749,0.6354522894551328,0.7670078515911385,0.49101857530621157,nan,0.5982387215802577,nan,0.6399594728083775,0.6683067260422347,0.5982387215802577,nan,0.6268895005826126,nan,nan,nan,nan,0.733938117803629,0.7217399224184267,nan,0.22058888045921704,0.7755832349559337,0.7126721386691544,nan,0.4760746854136525,nan,0.6984174842543227,nan,nan,0.8051437857352419,0.7252169475663393,0.7109969335056523,0.46420644217572965,0.6589959135979988,nan,0.7248387286173562,0.8133576645822916,nan,nan,nan,nan,nan,nan,0.5052704448394733,nan,0.7883500401137166,nan,0.6439202891402531,nan,0.8184434195105711,nan,0.5651976769689498,0.7252169475663393,0.7692589107774747,0.6589959135979988,nan,nan,nan,0.710498784210201,nan,0.6745367626592095,nan,0.664233181729102,0.7161821925413645,nan,nan,0.5442592034161279
mdc_031f3155a31e7062,nan,nan,nan,1.0,nan,nan,nan,nan,0.6793474670894001,nan,0.9492670709280102,-0.3253084175871804,nan,nan,0.958742232055828,0.9492670709280102,0.6954521868428908,0.9332283466050518,nan,nan,nan,nan,nan,-0.40225772214940947,0.6157725754261579,nan,0.9496507618307496,nan,nan,nan,nan,nan,0.6789297569688231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.4168850771680284,0.6582328126704277,nan,nan,nan,0.9492670709280102,0.620557735045788,-0.390433036336964,nan,-0.36619582930640127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.36619582930640127,0.9290812977574481,nan,nan,nan,nan,-0.390433036336964,nan,nan,nan,-0.3822862397129997,nan,0.9620276164789477,nan,nan,-0.36619582930640127,nan,nan,nan,nan,nan,nan,nan,nan,0.9290812977574481,0.6582328126704277,0.620557735045788,nan,nan,0.6582328126704277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8962473685560417,nan
mdc_05e99567b31e2127,nan,0.8683084986355675,0.8815189547532958,nan,1.0,0.8655495575060406,0.5717288953288311,0.8619076793361033,nan,nan,nan,nan,0.7751512444814832,0.7551618865154431,nan,nan,nan,nan,0.8798097877046237,nan,0.6657426740566265,0.8147290067061098,0.704836087860192,nan,nan,nan,nan,0.5380367663750144,nan,0.699935489979302,nan,0.20499478713899358,nan,nan,nan,nan,0.8645984958819064,nan,0.8715990414411576,nan,nan,0.7198838769633864,0.7662261666349452,nan,nan,nan,0.6763564463573823,0.8429141624491162,0.6970528687236411,nan,nan,nan,0.7709755530057745,nan,nan,nan,0.5477155550073762,nan,0.5339260586512443,nan,0.8682075220987735,0.6260297423779929,nan,0.7422724746518811,0.6970528687236411,0.8340553235222594,0.5477155550073762,nan,0.6568517022873044,nan,0.7108629953725509,0.7357306322857743,0.6568517022873044,nan,0.700305968231388,nan,nan,nan,nan,0.7907267571627399,0.7782325489229857,nan,0.21658003115717137,0.8555936787036293,0.7632637051667821,nan,0.5380367663750144,nan,0.7759116672353764,nan,nan,0.8453860813148648,0.7776274405142397,0.7709755530057745,0.5339260586512443,0.7283198861560405,nan,0.7597379791544377,0.8649588126491257,nan,nan,nan,nan,nan,nan,0.5717288953288311,nan,0.8392925007132681,nan,0.6862554733039249,nan,0.867332451353818,nan,0.6260297423779929,0.7776274405142397,0.8438153804560667,0.7283198861560405,nan,nan,nan,0.7551189694993579,nan,0.7330526927439746,nan,0.7233170959308992,0.7441035370840385,nan,nan,0.6211130864616945
mdc_0797eb6c34ebdc60,nan,0.9416231652312448,0.8142907318264316,nan,0.8655495575060406,1.0,0.6177515255710816,0.9631545722182223,nan,nan,nan,nan,0.8241745374136056,0.8196907689919811,nan,nan,nan,nan,0.9803172479142974,nan,0.7288546302539807,0.9277359484938346,0.7894710515834138,nan,nan,nan,nan,0.556714076187645,nan,0.808658889318424,nan,0.22558245292416804,nan,nan,nan,nan,0.9657763302184693,nan,0.9730161895902978,nan,nan,0.7882412808318351,0.8099016592048481,nan,nan,nan,0.6988307945509884,0.9441902032443511,0.733715010533985,nan,nan,nan,0.8176614089539933,nan,nan,nan,0.56199865781611,nan,0.5473966588168343,nan,0.978850165766464,0.6615338177589357,nan,0.8085098429255587,0.733715010533985,0.946193382267129,0.56199865781611,nan,0.6819633121693702,nan,0.763001523072101,0.7892990996119511,0.6819633121693702,nan,0.7714696711802781,nan,nan,nan,nan,0.852799825374555,0.8675521293575919,nan,0.3329772025395774,0.9400558862071349,0.8348980051110019,nan,0.556714076187645,nan,0.8181979929972909,nan,nan,0.961611213745824,0.8570723312197485,0.8176614089539933,0.5473966588168343,0.7635223044481542,nan,0.8345234872520071,0.9700896863338461,nan,nan,nan,nan,nan,nan,0.6177515255710816,nan,0.9033427855057327,nan,0.7634866238148146,nan,0.9265316084477131,nan,0.6615338177589357,0.8570723312197485,0.9577399314646552,0.7635223044481542,nan,nan,nan,0.819066688282577,nan,0.7665963346403886,nan,0.7509671373995558,0.8042664343328386,nan,nan,0.7353318473598741
mdc_0be4614eb2c8e446,nan,0.6463779527901067,0.5052704448394733,nan,0.5717288953288311,0.6177515255710816,0.9999999999999999,0.6696789976953275,nan,nan,nan,nan,0.6569496812103507,0.670598335908787,nan,nan,nan,nan,0.6232947363125437,nan,0.3679556876378447,0.4916698535219596,0.40324760415489913,nan,nan,nan,nan,0.9008813730449761,nan,0.39660274114077154,nan,0.4429697335837915,nan,nan,nan,nan,0.6665505917592375,nan,0.6412847297303258,nan,nan,0.6834623439750087,0.704945668498698,nan,nan,nan,0.4604121902978,0.6447027077997847,0.6492566363570555,nan,nan,nan,0.6543593516213533,nan,nan,nan,0.8406597990902536,nan,0.8762439241870515,nan,0.637578862971738,0.9449662914080278,nan,0.728056554013995,0.6492566363570555,0.5574422333810329,0.8406597990902536,nan,0.8885846827894626,nan,0.6848681691888547,0.7219407351112866,0.8885846827894626,nan,0.3729642348943349,nan,nan,nan,nan,0.6632678673578469,0.691693554361303,nan,0.10003120063137451,0.6538506810221079,0.7208398614552978,nan,0.9008813730449761,nan,0.7118402710007561,nan,nan,0.6043581321894895,0.6650201033871628,0.6543593516213533,0.8762439241870515,0.6724557727794063,nan,0.738512082757561,0.630102629987475,nan,nan,nan,nan,nan,nan,0.9999999999999999,nan,0.606301960015996,nan,0.7582852338809888,nan,0.5863854155961249,nan,0.9449662914080278,0.6650201033871628,0.65025113152749,0.6724557727794063,nan,nan,nan,0.6704025284641342,nan,0.6839319644182631,nan,0.676779116046175,0.6219450833665279,nan,nan,0.3041135904491374
mdc_0d70e9dadeea2aa7,nan,0.9437718313044805,0.8172559152631962,nan,0.8619076793361033,0.9631545722182223,0.6696789976953275,1.0,nan,nan,nan,nan,0.8507659214263119,0.8511598293314036,nan,nan,nan,nan,0.9797472403568722,nan,0.7236926541307953,0.9029102948288427,0.7787654557403066,nan,nan,nan,nan,0.5969611759952569,nan,0.7802177590942113,nan,0.2700920103815403,nan,nan,nan,nan,0.9701329911573291,nan,0.9762497383285145,nan,nan,0.8229662245645123,0.8544844022422322,nan,nan,nan,0.7307804818141796,0.9522602016735702,0.7621671823339641,nan,nan,nan,0.857288525942681,nan,nan,nan,0.5831844135502178,nan,0.5838919512118403,nan,0.972560597289983,0.708024956756333,nan,0.8487720442174376,0.7621671823339641,0.9333243043630167,0.5831844135502178,nan,0.7216568314203181,nan,0.7915934182476858,0.8410583533043444,0.7216568314203181,nan,0.7661432387817145,nan,nan,nan,nan,0.8953815499385586,0.9029628088688026,nan,0.2702402229083373,0.9499840334533685,0.8714264146777014,nan,0.5969611759952569,nan,0.8648964569508623,nan,nan,0.9604424229125651,0.8884185232951127,0.857288525942681,0.5838919512118403,0.7898876912652188,nan,0.8261730119413823,0.972694908052507,nan,nan,nan,nan,nan,nan,0.6696789976953275,nan,0.9041922530581487,nan,0.8085211885955124,nan,0.9200584334461909,nan,0.708024956756333,0.8884185232951127,0.953058326320781,0.7898876912652188,nan,nan,nan,0.85053129939246,nan,0.8138965937477807,nan,0.7942230948742685,0.8308905510617238,nan,nan,0.6963673593392566
mdc_0f8ce9e4611fe036,nan,nan,nan,0.6793474670894001,nan,nan,nan,nan,0.9999999999999999,nan,0.7027560975805529,0.14655225750841344,nan,nan,0.7197365575126069,0.7027560975805529,0.6438142979376509,0.6383481631855761,nan,nan,nan,nan,nan,0.20045449290808426,0.7955679067249362,nan,0.5734607680443551,nan,nan,nan,nan,nan,0.7784196869769745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1504235869908791,0.7734519286113817,nan,nan,nan,0.7027560975805529,0.6014877152777629,0.07398996537608944,nan,0.2155477710924069,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2155477710924069,0.6105668406411799,nan,nan,nan,nan,0.07398996537608944,nan,nan,nan,0.1859898368611899,nan,0.6852039480553686,nan,nan,0.2155477710924069,nan,nan,nan,nan,nan,nan,nan,nan,0.6105668406411799,0.7734519286113817,0.6014877152777629,nan,nan,0.7734519286113817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5275676329104009,nan
mdc_11261b4c8c37b3af,0.8441365859599395,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.962762462939761,nan,nan,nan,nan,nan,-0.8132265268648002,nan,nan,-0.16423727315976608,nan,0.9755788098844115,nan,nan,-0.09969928575680641,0.9824470140279395,0.9037515324346926,nan,0.2666938647274198,nan,0.8232384286170343,0.07168081017628125,nan,nan,0.9557131887598156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7563234541331193,0.7856372177889992,nan,0.9214676031287721,nan,0.9780085217490778,nan,nan,0.9814980634915497,nan,nan,nan,nan,0.9611113795230499,nan,0.7856372177889992,nan,nan,nan,0.8578705664766876,nan,nan,nan,0.7791832755699469,-0.0750441591196857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.816543054757196,nan,nan,nan,nan,nan,nan,-0.08272435357862629,nan,nan,nan,nan,nan,-0.8055033009690229,0.9883063261693656,nan,nan,-0.8132265268648002,nan,0.9294105094704367,nan,0.05054439009847698,nan,0.7917007209753885,nan,nan,nan,nan,-0.0750441591196857,0.9631027084569361,0.9889950144605119,nan,0.9176232473113328,nan,-0.8018095690040755,nan,nan,0.7412883564215704,nan,nan
